Data file:,V17.1-001-20230117 092357-r001.dx
Sequence Name:,2023--floral volatiles 20122022 samples,Project Name:,Floral volatiles GCMS
Sample name:,V17.1,Operator:,Amelia Gibbs (LANDCARE\GibbsA)
Instrument:,GCMS,Acquired on:,2023-01-17 10:45:12+13:00
Inj. volume:,1.000 µL,Location:,102
Acq. method:,floral volatiles SPME DB-Wax.amx,Type:,Sample
Processing method:,MS_DefaultMethod-floral-volatiles-2023.pmx,Sample amount:,0.00
Identified peaks from method library
Name,RT [min],Spectra Match Factor,Peak Height,Height %,Peak Area,Area %
"Carbamic acid, monoammonium salt",3.350,1000,1692346.6,0.58,3217595.4,0.29
Ethyl Acetate,5.089,1000,7758688.3,2.66,17158604.9,1.56
Ethanol,5.776,1000,4652455.6,1.60,13934661.9,1.26
α-Pinene,7.459,993,35705301.8,12.26,241827706.0,21.94
"Butanoic acid, ethyl ester",7.580,238,12608.5,0.00,7578.9,0.00
"Butanoic acid, 2-methyl-, ethyl ester",8.058,1000,2532995.8,0.87,5546091.2,0.50
"Butanoic acid, 3-methyl-, ethyl ester",8.404,1000,2104045.2,0.72,4378746.6,0.40
β-Pinene,9.240,956,3602978.0,1.24,10569655.9,0.96
β-Myrcene,10.831,1000,3967459.7,1.36,11242359.7,1.02
"2-Butenoic acid, ethyl ester, (Z)-",11.004,1000,1082606.4,0.37,2935578.2,0.27
(+)-4-Carene,11.345,986,1376185.8,0.47,3885361.7,0.35
D-Limonene,11.950,1000,6601608.2,2.27,19442983.0,1.76
β-Phellandrene,12.251,1000,799951.3,0.27,2413996.1,0.22
Eucalyptol,12.446,1000,14654148.0,5.03,56170204.9,5.10
"2-Butenoic acid, 3-methyl-, ethyl ester",12.933,1000,1325196.2,0.46,3595330.7,0.33
"Furan, 2-pentyl-",13.016,1000,852361.3,0.29,2754884.8,0.25
Ethyl tiglate,13.300,1000,3039935.0,1.04,8731528.2,0.79
γ-Terpinene,13.506,1000,17919284.3,6.15,67179115.6,6.09
β-Ocimene,13.572,772,1637413.3,0.56,4456374.0,0.40
3-Carene,13.663,983,7197225.3,2.47,20845064.1,1.89
Styrene,13.891,1000,9553726.6,3.28,29161603.2,2.65
o-Cymene,14.337,1000,22900447.1,7.86,100196761.3,9.09
"Cyclohexene, 3-methyl-6-(1-methylethylidene)-",14.732,980,8239731.9,2.83,28699497.7,2.60
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",15.172,1000,574377.4,0.20,2571042.3,0.23
1-Hexanol,17.103,1000,1293157.5,0.44,3487744.8,0.32
"3-Hexen-1-ol, (Z)-",18.109,1000,1264271.3,0.43,3601112.1,0.33
p-(1-Propenyl)-toluene,19.701,1000,2831497.6,0.97,9537257.9,0.87
α-Cubebene,20.418,1000,9116778.1,3.13,39896498.5,3.62
Copaene,21.524,1000,2652256.9,0.91,10711815.7,0.97
"Benzene, 1-ethyl-4-methoxy-",22.713,265,2399330.7,0.82,8171800.3,0.74
1-Octanol,23.153,439,2514293.2,0.86,6680400.0,0.61
cis-α-Bergamotene,24.333,1000,1124124.6,0.39,3710009.4,0.34
Caryophyllene,24.749,1000,3534989.2,1.21,11295488.9,1.02
Terpinen-4-ol,24.905,1000,3191006.5,1.10,11204120.7,1.02
Bicyclosesquiphellandrene,25.777,1000,7260902.8,2.49,22634619.6,2.05
Alloaromadendrene,26.187,1000,805369.0,0.28,3593477.8,0.33
Isopinocarveol,26.495,1000,2534795.2,0.87,7501225.3,0.68
"1-Isopropyl-4,7-dimethyl-1,2,3,4,5,6-hexahydronaphthalene",26.566,1000,3159945.2,1.09,10415043.3,0.94
"Benzoic acid, ethyl ester",26.732,1000,2487952.8,0.85,7609087.1,0.69
"3-Nonen-1-ol, (Z)-",27.181,451,986461.5,0.34,2963346.9,0.27
γ-Muurolene,27.250,197,1207086.2,0.41,3303145.0,0.30
α-Terpineol,27.643,991,3268998.9,1.12,10922439.9,0.99
"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-",28.023,1000,862999.5,0.30,3709036.0,0.34
"cis-Muurola-4(15),5-diene",28.153,1000,2039498.0,0.70,6963052.4,0.63
"Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-meth",28.394,1000,605423.2,0.21,2562810.2,0.23
"(1S,2E,6E,10R)-3,7,11,11-Tetramethylbicyclo[8.1.0]undeca-2,",28.692,1000,3623311.4,1.24,10821432.1,0.98
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",29.315,1000,4664938.4,1.60,14546896.2,1.32
Cubenene,30.013,1000,2447645.1,0.84,8625956.3,0.78
(-)-Myrtenol,30.366,1000,14372548.6,4.94,48173286.5,4.37
"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methyleth",31.389,1000,8760322.4,3.01,28994356.3,2.63
"Benzenemethanol, α,α,4-trimethyl-",31.753,1000,887999.0,0.30,2766220.9,0.25
(-)-cis-Myrtanol,32.484,1000,11621064.1,3.99,40391423.2,3.66
Phenylethyl Alcohol,33.441,1000,6998588.5,2.40,21985759.5,1.99
ortho-Methoxyacetophenone,35.498,1000,1302507.4,0.45,3897779.6,0.35
Methyleugenol,35.911,1000,1592354.5,0.55,7480873.5,0.68
"Phenol, 4-ethyl-2-methoxy-",36.370,1000,10298206.0,3.54,31637122.4,2.87
3-Phenylpropanol,36.804,1000,1989830.9,0.68,6196406.5,0.56
