Data file:,V7.2-001-20230118 151553-r001.dx
Sequence Name:,2023---floral volatiles 20122022 samples,Project Name:,Floral volatiles GCMS
Sample name:,V7.2,Operator:,Amelia Gibbs (LANDCARE\GibbsA)
Instrument:,GCMS,Acquired on:,2023-01-18 15:35:01+13:00
Inj. volume:,1.000 µL,Location:,112
Acq. method:,floral volatiles SPME DB-Wax.amx,Type:,Sample
Processing method:,*MS_DefaultMethod-floral-volatiles-2023.pmx,Sample amount:,0.00
Identified peaks from method library
Name,RT [min],Spectra Match Factor,Peak Height,Height %,Peak Area,Area %
"Carbamic acid, monoammonium salt",3.352,913,1057283.8,0.58,2156644.4,0.29
Ethanol,5.763,983,698692.5,0.39,1931712.5,0.26
α-Pinene,7.483,986,36988624.8,20.43,289513416.2,38.37
β-Pinene,9.310,952,10287140.0,5.68,30644189.2,4.06
β-Myrcene,10.905,991,3015846.5,1.67,8519795.0,1.13
(+)-4-Carene,11.419,988,1653660.9,0.91,4553779.5,0.60
D-Limonene,12.011,972,2216022.0,1.22,6528848.2,0.87
β-Phellandrene,12.317,960,2416830.7,1.33,6786188.6,0.90
Eucalyptol,12.459,694,2704826.0,1.49,9631584.0,1.28
β-Ocimene,13.533,795,11617437.2,6.42,35703227.3,4.73
3-Carene,13.683,982,2284134.4,1.26,8391725.4,1.11
Styrene,13.897,998,7078923.0,3.91,20853167.4,2.76
o-Cymene,14.332,997,13149577.7,7.26,40945099.3,5.43
"Cyclohexene, 3-methyl-6-(1-methylethylidene)-",14.742,982,5405009.3,2.99,15477200.5,2.05
"3-Hexen-1-ol, (Z)-",18.104,969,1691170.4,0.93,5179412.2,0.69
p-(1-Propenyl)-toluene,19.694,981,994920.8,0.55,3562637.6,0.47
"3,5-Heptanedione, 2,2,6-trimethyl-",20.000,206,1084868.0,0.60,3256709.7,0.43
trans-Linalool oxide (furanoid),20.393,244,3725769.6,2.06,20802411.5,2.76
L-Menthone,20.641,1000,500296.3,0.28,2084430.7,0.28
Copaene,21.532,915,2021718.7,1.12,10568575.8,1.40
"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,",22.561,225,646386.2,0.36,1977051.7,0.26
"Benzene, 1-ethyl-4-methoxy-",22.716,262,800931.1,0.44,3696726.8,0.49
1-Octanol,23.151,437,800940.8,0.44,2070241.8,0.27
cis-α-Bergamotene,24.328,923,456448.7,0.25,1932499.2,0.26
Caryophyllene,24.745,977,836235.6,0.46,3133537.2,0.42
Terpinen-4-ol,24.899,920,938301.7,0.52,3575547.2,0.47
Bicyclosesquiphellandrene,25.770,793,1021548.5,0.56,3312411.7,0.44
Isopinocarveol,26.493,970,2330929.5,1.29,7029160.6,0.93
"1-Isopropyl-4,7-dimethyl-1,2,3,4,5,6-hexahydronaphthalene",26.566,966,939158.7,0.52,2752313.9,0.36
trans-Verbenol,26.975,248,1579508.7,0.87,4979927.6,0.66
"3-Nonen-1-ol, (Z)-",27.179,431,679103.5,0.38,1940583.2,0.26
γ-Muurolene,27.248,165,1409551.4,0.78,4323835.8,0.57
α-Terpineol,27.640,942,1049541.6,0.58,3268950.5,0.43
"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-",28.021,956,1575885.6,0.87,5164244.7,0.68
"cis-Muurola-4(15),5-diene",28.301,354,2649466.3,1.46,7809061.9,1.03
"Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-meth",28.417,603,673755.6,0.37,2561277.6,0.34
"3,6-Nonadien-1-ol, (E,Z)-",29.116,933,974748.4,0.54,2705469.0,0.36
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",29.312,979,2050256.2,1.13,6449886.7,0.85
Cubenene,30.012,980,1186836.5,0.66,3761891.0,0.50
(-)-Myrtenol,30.353,991,6095964.0,3.37,18722833.4,2.48
"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methyleth",31.381,997,5225979.4,2.89,15830147.0,2.10
(-)-cis-Myrtanol,32.501,409,2107067.9,1.16,7248560.3,0.96
Phenylethyl Alcohol,33.437,996,2811217.4,1.55,8521376.8,1.13
ortho-Methoxyacetophenone,35.497,981,724031.7,0.40,2294250.8,0.30
"Phenol, 4-ethyl-2-methoxy-",36.367,998,7334903.5,4.05,21929840.7,2.91
4-Vinylphenol,37.338,897,379861.4,0.21,2889386.1,0.38
