Data file:,V16.2-001-20230118 082047-r002.dx
Sequence Name:,2023--floral volatiles 20122022 samples,Project Name:,Floral volatiles GCMS
Sample name:,V16.2,Operator:,Amelia Gibbs (LANDCARE\GibbsA)
Instrument:,GCMS,Acquired on:,2023-01-18 09:09:52+13:00
Inj. volume:,1.000 µL,Location:,109
Acq. method:,floral volatiles SPME DB-Wax.amx,Type:,Sample
Processing method:,MS_DefaultMethod-floral-volatiles-2023.pmx,Sample amount:,0.00
Identified peaks from method library
Name,RT [min],Spectra Match Factor,Peak Height,Height %,Peak Area,Area %
"Acetic acid, methyl ester",4.503,1000,1520469.5,0.58,2950541.7,0.34
Ethyl Acetate,5.092,850,16232820.2,6.21,44245081.1,5.10
Ethanol,5.772,986,4336642.0,1.66,16581700.1,1.91
"Propanoic acid, ethyl ester",6.111,981,2540817.1,0.97,5460582.8,0.63
"Propanoic acid, 2-methyl-, ethyl ester",6.261,980,3292462.8,1.26,7138590.0,0.82
α-Pinene,7.412,998,32441935.1,12.42,142066426.9,16.38
"Butanoic acid, ethyl ester",7.669,1000,1067826.7,0.41,2395158.3,0.28
"Butanoic acid, 2-methyl-, ethyl ester",8.069,975,13065546.0,5.00,31770835.0,3.66
"Butanoic acid, 3-methyl-, ethyl ester",8.403,984,1530903.7,0.59,3220944.6,0.37
β-Pinene,9.289,935,13265715.0,5.08,41322872.7,4.77
β-Myrcene,10.596,71,3055773.5,1.17,7673094.5,0.88
"2-Butenoic acid, ethyl ester, (Z)-",11.014,957,3341080.3,1.28,8894695.7,1.03
D-Limonene,11.988,979,4986662.8,1.91,14258698.2,1.64
β-Phellandrene,12.289,968,826097.7,0.32,2434284.8,0.28
Eucalyptol,12.450,984,7358112.6,2.82,24703328.0,2.85
"2-Butenoic acid, 3-methyl-, ethyl ester",13.034,219,1789733.6,0.69,4543538.1,0.52
"Hexanoic acid, ethyl ester",13.168,1000,1208129.4,0.46,3359946.3,0.39
Ethyl tiglate,13.307,962,10229994.1,3.92,29489983.5,3.40
β-Ocimene,13.497,801,1286885.1,0.49,3700314.5,0.43
Styrene,13.897,932,18608498.5,7.12,60164340.4,6.94
o-Cymene,14.409,148,785300.1,0.30,2104754.2,0.24
"3-Hexen-1-ol, acetate, (E)-",15.850,1000,1157399.2,0.44,3337423.0,0.38
"Heptanoic acid, ethyl ester",16.391,1000,1006642.5,0.39,3096613.0,0.36
