Data file:,V3.3-001-20230119 051116-r001.dx
Sequence Name:,2023---floral volatiles 20122022 samples,Project Name:,Floral volatiles GCMS
Sample name:,V3.3,Operator:,Amelia Gibbs (LANDCARE\GibbsA)
Instrument:,GCMS,Acquired on:,2023-01-19 05:30:24+13:00
Inj. volume:,1.000 µL,Location:,204
Acq. method:,floral volatiles SPME DB-Wax.amx,Type:,Sample
Processing method:,*MS_DefaultMethod-floral-volatiles-2023.pmx,Sample amount:,0.00
Identified peaks from method library
Name,RT [min],Spectra Match Factor,Peak Height,Height %,Peak Area,Area %
Ethyl Acetate,5.089,978,7942307.3,3.67,17805710.8,2.45
Ethanol,5.783,981,5737042.4,2.65,21088257.7,2.90
"Propanoic acid, 2-methyl-, ethyl ester",6.259,971,973996.6,0.45,2081393.1,0.29
α-Pinene,7.412,999,31599328.9,14.60,142726770.2,19.66
"Butanoic acid, 2-methyl-, ethyl ester",8.064,985,10601578.8,4.90,24969398.4,3.44
"Butanoic acid, 3-methyl-, ethyl ester",8.400,976,1048744.5,0.48,2240304.2,0.31
β-Pinene,9.365,963,8036753.5,3.71,23938112.8,3.30
β-Myrcene,10.956,913,1169076.0,0.54,2948905.7,0.41
"2-Butenoic acid, ethyl ester, (Z)-",11.034,930,5804333.2,2.68,15960895.7,2.20
(+)-4-Carene,11.474,987,3276019.4,1.51,9337866.4,1.29
D-Limonene,12.063,962,2929599.2,1.35,8094178.2,1.11
β-Phellandrene,12.380,695,2076443.7,0.96,4631155.5,0.64
Eucalyptol,12.442,412,2861206.6,1.32,10002488.0,1.38
"2-Butenoic acid, 3-methyl-, ethyl ester",12.958,970,2085856.5,0.96,6000609.2,0.83
"Furan, 2-pentyl-",13.087,916,1168829.1,0.54,3871482.1,0.53
Ethyl tiglate,13.323,965,5856351.1,2.71,16920034.6,2.33
β-Ocimene,13.577,793,12689899.5,5.86,48911792.1,6.74
3-Carene,13.725,622,662523.4,0.31,2316894.6,0.32
Styrene,13.910,996,3764403.5,1.74,11319091.4,1.56
o-Cymene,14.359,997,11879790.1,5.49,43112060.8,5.94
"Cyclohexene, 3-methyl-6-(1-methylethylidene)-",14.773,988,3406579.5,1.57,12592197.2,1.73
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",15.202,958,391588.8,0.18,1675898.9,0.23
1-Hexanol,17.091,980,1529739.1,0.71,4211167.8,0.58
"Verbenyl, ethyl ether, (1R,4S,5R)-",17.592,173,578058.5,0.27,1825757.7,0.25
"3-Hexen-1-ol, (Z)-",18.107,982,5309070.4,2.45,15000105.6,2.07
"Benzene, 1-methoxy-3-methyl-",18.857,985,1776835.4,0.82,5196469.3,0.72
p-(1-Propenyl)-toluene,19.703,979,662999.7,0.31,2358938.4,0.32
"3,5-Heptanedione, 2,2,6-trimethyl-",19.998,199,904771.2,0.42,2724070.0,0.38
α-Cubebene,20.425,986,6516718.9,3.01,23679178.5,3.26
L-Menthone,20.690,527,543481.5,0.25,2109049.3,0.29
Copaene,21.526,881,3482464.9,1.61,12243798.7,1.69
"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,",22.323,174,654062.5,0.30,2000030.3,0.28
"Benzene, 1-ethyl-4-methoxy-",22.719,273,2554273.9,1.18,8584254.1,1.18
Linalool,22.933,334,516718.6,0.24,2367006.7,0.33
1-Octanol,23.242,447,604909.9,0.28,1802442.9,0.25
cis-α-Bergamotene,24.332,971,736461.9,0.34,2248258.5,0.31
Caryophyllene,24.747,971,709804.5,0.33,2283061.6,0.31
Terpinen-4-ol,24.901,951,3777190.4,1.74,12839557.2,1.77
Bicyclosesquiphellandrene,25.770,902,663241.6,0.31,1924254.2,0.27
Alloaromadendrene,26.240,305,432524.6,0.20,2171757.4,0.30
"1-Isopropyl-4,7-dimethyl-1,2,3,4,5,6-hexahydronaphthalene",26.562,935,1172419.0,0.54,4117788.6,0.57
"Benzoic acid, ethyl ester",26.724,905,409720.3,0.19,1677557.2,0.23
trans-Verbenol,26.970,248,746539.9,0.34,2367027.6,0.33
α-Terpineol,27.633,875,716548.4,0.33,2644640.7,0.36
"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-",28.034,575,577437.7,0.27,2031124.0,0.28
"cis-Muurola-4(15),5-diene",28.291,425,525571.8,0.24,1772956.2,0.24
"Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-meth",28.403,673,607686.4,0.28,2575014.6,0.35
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",29.309,981,1654321.7,0.76,5370857.5,0.74
Cubenene,30.009,974,1619986.1,0.75,5193794.0,0.72
(-)-Myrtenol,30.349,996,4138641.0,1.91,12350120.3,1.70
"Ethanone, 1-(2-hydroxyphenyl)-",30.474,761,635105.7,0.29,2118939.1,0.29
"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methyleth",31.379,996,5346809.3,2.47,16062647.4,2.21
(-)-cis-Myrtanol,32.494,519,2954201.7,1.36,11749501.8,1.62
Phenylethyl Alcohol,33.434,996,3708636.6,1.71,11323781.8,1.56
ortho-Methoxyacetophenone,35.493,947,951194.1,0.44,2927201.7,0.40
Methyleugenol,35.652,174,520209.4,0.24,1607607.3,0.22
"Phenol, 4-ethyl-2-methoxy-",36.370,910,19154464.1,8.85,63416643.4,8.73
3-Phenylpropanol,36.800,978,853622.2,0.39,2600555.7,0.36
4-Vinylphenol,37.311,936,279089.1,0.13,2076864.3,0.29
