Data file:,V7.3-001-20230118 171514-r001.dx
Sequence Name:,2023---floral volatiles 20122022 samples,Project Name:,Floral volatiles GCMS
Sample name:,V7.3,Operator:,Amelia Gibbs (LANDCARE\GibbsA)
Instrument:,GCMS,Acquired on:,2023-01-18 17:34:22+13:00
Inj. volume:,1.000 µL,Location:,113
Acq. method:,floral volatiles SPME DB-Wax.amx,Type:,Sample
Processing method:,*MS_DefaultMethod-floral-volatiles-2023.pmx,Sample amount:,0.00
Identified peaks from method library
Name,RT [min],Spectra Match Factor,Peak Height,Height %,Peak Area,Area %
Ethanol,5.773,985,3899165.7,1.24,13686962.1,1.12
α-Pinene,7.445,994,35491105.4,11.30,215527739.8,17.64
β-Pinene,9.307,898,18845255.0,6.00,66202059.5,5.42
β-Myrcene,10.903,962,13756676.4,4.38,46735513.0,3.82
(+)-4-Carene,11.398,992,3564768.7,1.14,9396553.3,0.77
D-Limonene,11.994,957,6145883.7,1.96,17515609.7,1.43
β-Phellandrene,12.380,279,36473.4,0.01,11451.5,0.00
Eucalyptol,12.473,445,3329997.9,1.06,15139155.3,1.24
β-Ocimene,13.543,767,23841291.1,7.59,97911848.2,8.01
3-Carene,13.667,949,1490723.3,0.47,4363271.2,0.36
Styrene,13.891,998,8121824.3,2.59,24161661.3,1.98
o-Cymene,14.329,999,19029913.7,6.06,64798838.8,5.30
"Cyclohexene, 3-methyl-6-(1-methylethylidene)-",14.742,982,12671225.0,4.03,40605912.4,3.32
1-Hexanol,17.095,863,1155181.5,0.37,3100096.4,0.25
"3-Hexen-1-ol, (Z)-",18.105,980,1970800.3,0.63,5205546.9,0.43
"3,5-Heptanedione, 2,2,6-trimethyl-",20.004,174,4658616.8,1.48,13207837.7,1.08
trans-Linalool oxide (furanoid),20.388,252,7316068.8,2.33,34957701.0,2.86
Ylangene,21.428,728,125686.4,0.04,181225.5,0.01
Copaene,21.486,715,2500083.2,0.80,13611450.3,1.11
"Benzene, 1-ethyl-4-methoxy-",22.690,270,2184064.6,0.70,11080577.2,0.91
1-Octanol,23.159,430,9490993.5,3.02,27375941.5,2.24
Caryophyllene,24.747,982,3402400.2,1.08,14609074.8,1.20
Terpinen-4-ol,24.905,950,6105567.3,1.94,21263998.7,1.74
Bicyclosesquiphellandrene,25.772,989,5462250.1,1.74,20470114.8,1.68
Isopinocarveol,26.496,983,4314709.7,1.37,13331850.1,1.09
"1-Isopropyl-4,7-dimethyl-1,2,3,4,5,6-hexahydronaphthalene",26.565,988,3273213.7,1.04,11232783.0,0.92
α-Terpineol,27.644,948,3798552.2,1.21,12365660.5,1.01
"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-",28.030,775,946113.3,0.30,3657749.4,0.30
"cis-Muurola-4(15),5-diene",28.298,461,934170.2,0.30,3148310.7,0.26
"Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-meth",28.409,625,1028039.1,0.33,4453598.1,0.36
"(1S,2E,6E,10R)-3,7,11,11-Tetramethylbicyclo[8.1.0]undeca-2,",28.688,981,1340741.6,0.43,4023450.9,0.33
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",29.316,983,4625243.5,1.47,14392911.9,1.18
Cubenene,30.014,982,3185410.2,1.01,10058906.4,0.82
(-)-Myrtenol,30.373,979,16182893.4,5.15,55725294.9,4.56
"Ethanone, 1-(2-hydroxyphenyl)-",30.478,735,848195.5,0.27,2841170.4,0.23
"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methyleth",31.393,973,10012396.7,3.19,31194245.1,2.55
"Benzenemethanol, α,α,4-trimethyl-",32.022,114,2821373.6,0.90,8487279.2,0.69
(-)-cis-Myrtanol,32.500,511,4588047.0,1.46,17724784.4,1.45
Phenylethyl Alcohol,33.441,993,6900975.0,2.20,21518572.9,1.76
ortho-Methoxyacetophenone,35.503,984,5009459.9,1.60,15511982.9,1.27
Methyleugenol,35.722,81,3216381.1,1.02,10355252.5,0.85
"Phenol, 4-ethyl-2-methoxy-",36.402,737,33622857.5,10.71,155267334.0,12.71
4-Vinylphenol,37.314,984,1837522.8,0.59,13537097.5,1.11
