Data file:,V16.2-001-20230118 065108-r001.dx
Sequence Name:,2023--floral volatiles 20122022 samples,Project Name:,Floral volatiles GCMS
Sample name:,V16.2,Operator:,Amelia Gibbs (LANDCARE\GibbsA)
Instrument:,GCMS,Acquired on:,2023-01-18 07:40:14+13:00
Inj. volume:,1.000 µL,Location:,109
Acq. method:,floral volatiles SPME DB-Wax.amx,Type:,Sample
Processing method:,MS_DefaultMethod-floral-volatiles-2023.pmx,Sample amount:,0.00
Identified peaks from method library
Name,RT [min],Spectra Match Factor,Peak Height,Height %,Peak Area,Area %
"Acetic acid, methyl ester",4.503,992,1600433.1,0.60,3117862.7,0.34
Ethyl Acetate,5.094,846,16421124.6,6.20,44743768.6,4.91
Ethanol,5.774,986,4459593.0,1.68,19819600.7,2.18
"Propanoic acid, ethyl ester",6.111,982,2534525.4,0.96,5633384.0,0.62
"Propanoic acid, 2-methyl-, ethyl ester",6.262,977,3473239.0,1.31,7648788.9,0.84
α-Pinene,7.415,998,33040976.1,12.47,150595214.8,16.53
"Butanoic acid, ethyl ester",7.671,978,1158002.0,0.44,3093186.1,0.34
"Butanoic acid, 2-methyl-, ethyl ester",8.071,980,14195527.4,5.36,35168746.9,3.86
"Butanoic acid, 3-methyl-, ethyl ester",8.403,985,1649240.4,0.62,3399291.7,0.37
β-Pinene,9.242,930,14130128.8,5.33,42481960.0,4.66
β-Myrcene,10.565,62,3164886.9,1.19,8322124.0,0.91
"2-Butenoic acid, ethyl ester, (Z)-",11.001,959,3498539.5,1.32,9129487.9,1.00
(+)-4-Carene,11.326,973,714917.1,0.27,1979984.6,0.22
D-Limonene,11.929,986,5395440.0,2.04,15339552.2,1.68
β-Phellandrene,12.234,977,926287.0,0.35,2562678.9,0.28
Eucalyptol,12.423,984,7121873.6,2.69,23009003.6,2.53
"2-Butenoic acid, 3-methyl-, ethyl ester",12.993,188,2001851.7,0.76,5210182.8,0.57
Ethyl tiglate,13.289,954,10811952.2,4.08,32229606.5,3.54
β-Ocimene,13.450,802,1606821.8,0.61,4585597.4,0.50
Styrene,13.878,922,20253920.8,7.64,70694398.6,7.76
o-Cymene,14.273,975,653955.9,0.25,2052689.7,0.23
"3-Hexen-1-ol, acetate, (E)-",15.834,983,958517.1,0.36,2708422.7,0.30
1-Hexanol,17.101,985,1309818.9,0.49,3634306.6,0.40
"3-Hexen-1-ol, (Z)-",18.107,895,1074996.4,0.41,3289823.3,0.36
trans-Linalool oxide (furanoid),20.277,341,40285.7,0.02,30653.1,0.00
α-Cubebene,20.366,987,11099385.3,4.19,47946666.6,5.26
Copaene,21.535,862,2147282.0,0.81,5855416.6,0.64
"Benzene, 1-ethyl-4-methoxy-",22.664,257,2422440.8,0.91,7237958.0,0.79
"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,",22.731,950,1100166.0,0.42,3525587.7,0.39
Caryophyllene,24.711,991,3538500.5,1.34,16820686.4,1.85
Terpinen-4-ol,24.891,867,775111.1,0.29,2865396.3,0.31
Bicyclosesquiphellandrene,25.746,993,7115029.4,2.69,33924220.1,3.72
Alloaromadendrene,26.144,787,448018.7,0.17,2045089.4,0.22
"1-Isopropyl-4,7-dimethyl-1,2,3,4,5,6-hexahydronaphthalene",26.543,874,2331542.2,0.88,13595207.6,1.49
"Benzoic acid, ethyl ester",26.724,983,4570711.5,1.72,14448639.7,1.59
trans-Verbenol,26.965,264,674955.4,0.25,2485499.5,0.27
γ-Muurolene,27.380,623,2750049.0,1.04,9382508.5,1.03
α-Terpineol,27.633,931,1162604.4,0.44,4841978.1,0.53
"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-",28.014,797,472836.9,0.18,2051881.3,0.23
"cis-Muurola-4(15),5-diene",28.150,898,1507802.0,0.57,6074873.0,0.67
"Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-meth",28.389,756,812501.5,0.31,3565157.6,0.39
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",29.306,984,3216478.0,1.21,12161143.4,1.34
Cubenene,30.004,982,2520089.3,0.95,9739064.1,1.07
(-)-Myrtenol,30.357,993,8657368.8,3.27,26844229.4,2.95
"Ethanone, 1-(2-hydroxyphenyl)-",30.474,840,951522.0,0.36,3377395.2,0.37
"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methyleth",31.383,964,10916313.0,4.12,39840919.7,4.37
"Benzenemethanol, α,α,4-trimethyl-",32.130,233,742742.4,0.28,2307859.3,0.25
(-)-cis-Myrtanol,32.498,504,5743065.9,2.17,23272971.4,2.55
Phenylethyl Alcohol,33.435,988,1363579.8,0.51,4163114.8,0.46
"2-Propenoic acid, 3-phenyl-, methyl ester, (E)-",34.512,985,1202269.3,0.45,3563378.8,0.39
ortho-Methoxyacetophenone,35.496,990,2398882.6,0.91,7184940.3,0.79
"Phenol, 4-ethyl-2-methoxy-",36.366,997,9836553.5,3.71,30093286.7,3.30
3-Phenylpropanol,36.801,986,2044717.6,0.77,6338930.3,0.70
4-Vinylphenol,37.339,970,1294258.7,0.49,9656331.9,1.06
